Student_ID,Student_Name,Attendance_Percent,Study_Hours_Per_Day,Assignment_Score,Internal_Marks,Final_Marks
59,Student_059,85.0,3.4,89.0,83.6,88.4
60,Student_060,90.8,7.9,86.0,94.4,91.0
61,Student_061,77.7,4.7,67.0,85.0,82.9
62,Student_062,80.3,2.5,71.0,76.8,62.6
63,Student_063,72.0,2.2,88.0,63.3,71.6
64,Student_064,71.2,4.5,86.0,79.6,89.3
65,Student_065,89.3,3.5,78.0,78.7,59.2
66,Student_066,94.2,4.9,80.0,91.8,80.8
67,Student_067,81.4,4.5,95.0,73.0,84.2
68,Student_068,91.0,3.7,,78.1,73.0
69,Student_069,85.3,2.5,85.0,78.2,78.5
70,Student_070,76.2,1.5,75.0,47.9,52.0
71,Student_071,85.3,3.1,75.0,61.8,67.4
72,Student_072,95.8,5.1,92.0,72.9,81.0
73,Student_073,81.7,4.1,89.0,74.7,86.5
74,Student_074,96.1,1.9,89.0,79.3,79.5
75,Student_075,58.4,4.1,95.0,79.1,81.7
76,Student_076,89.4,4.4,78.0,78.2,75.2
77,Student_077,82.8,2.5,87.0,81.8,74.4
78,Student_078,79.3,4.0,74.0,61.0,64.2
79,Student_079,82.8,3.9,82.0,62.3,73.1
80,Student_080,64.1,2.1,76.0,57.3,57.5
81,Student_081,80.0,4.3,79.0,76.3,78.3
82,Student_082,85.2,4.6,86.0,78.8,95.2
83,Student_083,95.3,5.4,67.0,66.2,78.2
84,Student_084,77.3,5.4,100.0,82.4,84.9
85,Student_085,74.7,1.7,65.0,48.2,62.0
86,Student_086,77.5,2.4,62.0,65.0,59.1
87,Student_087,90.2,4.6,93.0,85.8,72.3
88,Student_088,85.0,4.6,88.0,73.0,71.6
89,Student_089,77.2,4.6,86.0,72.1,63.6
90,Student_090,86.6,,86.0,85.2,88.1
91,Student_091,82.9,4.7,78.0,75.6,76.9
92,Student_092,90.7,5.5,66.0,85.5,91.9
93,Student_093,75.7,5.2,79.0,68.4,76.2
94,Student_094,79.1,4.8,69.0,75.7,72.3
95,Student_095,78.5,3.3,91.0,69.1,80.2
96,Student_096,68.8,4.9,76.0,64.8,54.5
97,Student_097,84.7,2.6,67.0,64.8,66.3
98,Student_098,84.3,3.4,74.0,63.3,73.0
99,Student_099,82.0,3.1,83.0,67.2,60.8
100,Student_100,79.9,3.9,71.0,61.3,74.3
101,Student_101,69.3,7.3,67.0,90.7,86.2
102,Student_102,78.2,1.0,81.0,61.2,60.3
103,Student_103,78.9,4.8,81.0,70.8,79.6
104,Student_104,74.8,1.4,71.0,59.5,75.8
105,Student_105,80.5,3.1,72.0,66.4,68.6
106,Student_106,85.6,5.4,81.0,79.2,82.8
107,Student_107,99.0,3.9,59.0,78.4,69.4
108,Student_108,83.6,2.2,60.0,66.8,56.5
109,Student_109,84.3,2.7,69.0,62.7,70.2
110,Student_110,81.3,4.8,75.0,70.9,67.7
111,Student_111,64.7,2.7,82.0,60.1,65.3
112,Student_112,81.8,4.1,97.0,62.9,72.1
113,Student_113,82.5,3.9,89.0,65.6,77.3
114,Student_114,100.0,2.8,76.0,85.0,81.0
115,Student_115,80.3,7.0,78.0,95.2,97.2
116,Student_116,84.7,4.8,65.0,71.6,67.9
117,Student_117,81.7,0.8,78.0,64.8,62.1
118,Student_118,71.5,4.1,74.0,70.0,63.6
119,Student_119,92.3,2.8,82.0,95.6,81.2
120,Student_120,88.8,5.1,67.0,84.6,81.7
11,Student_011,77.8,1.5,62.0,57.1,56.6
51,Student_051,84.9,2.5,75.0,72.6,74.8
